english	中文	首次出現章節	備註
automation anxiety	自動化焦慮	§2	待確認
algorithmic management	演算法管理	§1.3	待確認
innovation resistance	創新抗拒	§1.3	待確認
knowledge work	知識工作	§1.1	待確認
role meaning formation	角色意義形成	Abstract	待確認
meaning management	意義管理	§1.4	待確認
narrative reversal	敘事逆轉	Abstract	待確認
recursive cue production	遞迴線索生產	Abstract	待確認
cue extraction	線索擷取	§1.2	待確認
information foraging	資訊覓食	§2.5.2	待確認；Pirolli & Card
equivocality / equivocal	模糊多義性	§2.2	待確認；Weick 用語
plausibility / plausible account	合理可信性／合理可信的敘說	§1.3	待確認；Weick 用語
bracketing (cues)	框選（線索）	§2.2	待確認；Weick 用語
retrospective	回溯性	§2.2	待確認
enactment	實作（enactment）	§1.5	待確認；與 enacted sensemaking 一致
probe / probing	探測	§1.2	待確認
hallucination (hallucinate)	幻覺	§2.5.4	待確認
vicarious demonstrative cues	間接展示線索	§2.5.6	待確認；避免與「替代」(substitution) 混淆，故不譯「替代性」
source credibility	來源可信度	§4.3	待確認
covert use	隱蔽使用	§1.2	待確認
external mandate	外部強制要求	§3.1	待確認
discretion	裁量權	§1.2	待確認；網站規格用「裁量權」
behavioral depth	行為深度	§1.2	待確認
use trajectory	使用軌跡	§3.4	待確認
protective motive	自我保護動機	§3.4	待確認；避免與 protection motivation theory 譯名重疊
dual pathway	雙路徑	§1.2	待確認
hindrance appraisal	阻礙性評估	§2.4.1	待確認；Ding (2021) challenge–hindrance
transactional (reading of appraisal)	交互作用取向（的評估觀）	§4.2	待確認；Lazarus & Folkman
coping appraisal	因應評估	§2.4.1	待確認
terminal outcome	終端結果	§3	待確認
tier	層級（tier）	§2.6	待確認
componential / component	成分式／組成成分	§1.2	待確認
employability	就業能力	§3.3	待確認
employment protection legislation / collective representation / occupational licensure / at-will employment	就業保護立法／集體代表制／職業證照制度／隨意僱用制	§5.2	待確認；§5.2 制度脈絡
confirmatory factor analysis	驗證性因素分析	§5.3	待確認
longitudinal structural equation modeling	縱貫性結構方程模型	§5.3	待確認
diary study	日誌研究法	§5.3	待確認
process tracing	歷程追蹤	§5.3	待確認
scope condition	適用範圍條件	§2.1	待確認
modality / agency / interactivity / navigability	形式／代理／互動性／導覽性	§2.5.4	待確認；MAIN 四類介面線索
realistic merger preview	務實併購預告	§2.3.2	待確認；Schweiger & DeNisi (1991)
downsizing / restructuring	裁員縮編／組織重組	§2.3.3	待確認
machine-sourced information	機器來源資訊	§2.5.4	待確認
